Date,Classification,Value
2023-01-01,Fear,10
2023-01-02,Fear,21
2023-01-03,Greed,66
2023-01-04,Fear,35
2023-01-05,Fear,29
2023-01-06,Fear,10
2023-01-07,Fear,40
2023-01-08,Greed,72
2023-01-09,Fear,38
2023-01-10,Fear,35
2023-01-11,Greed,70
2023-01-12,Fear,43
2023-01-13,Fear,40
2023-01-14,Fear,25
2023-01-15,Greed,73
2023-01-16,Fear,43
2023-01-17,Fear,44
2023-01-18,Fear,22
2023-01-19,Fear,41
2023-01-20,Fear,11
2023-01-21,Fear,10
2023-01-22,Fear,33
2023-01-23,Fear,37
2023-01-24,Greed,76
2023-01-25,Fear,20
2023-01-26,Fear,27
2023-01-27,Fear,44
2023-01-28,Fear,26
2023-01-29,Fear,15
2023-01-30,Fear,35
2023-01-31,Fear,37
2023-02-01,Fear,28
2023-02-02,Fear,27
2023-02-03,Fear,12
2023-02-04,Fear,29
2023-02-05,Fear,26
2023-02-06,Greed,74
2023-02-07,Fear,11
2023-02-08,Fear,41
2023-02-09,Fear,12
2023-02-10,Greed,59
2023-02-11,Fear,32
2023-02-12,Fear,15
2023-02-13,Fear,11
2023-02-14,Fear,24
2023-02-15,Fear,24
2023-02-16,Greed,85
2023-02-17,Fear,44
2023-02-18,Fear,40
2023-02-19,Fear,43
2023-02-20,Fear,13
2023-02-21,Greed,60
2023-02-22,Greed,87
2023-02-23,Fear,30
2023-02-24,Fear,41
2023-02-25,Fear,35
2023-02-26,Fear,40
2023-02-27,Fear,39
2023-02-28,Fear,31
2023-03-01,Greed,68
2023-03-02,Greed,92
2023-03-03,Greed,75
2023-03-04,Greed,74
2023-03-05,Greed,84
2023-03-06,Greed,72
2023-03-07,Greed,74
2023-03-08,Greed,69
2023-03-09,Greed,73
2023-03-10,Greed,88
2023-03-11,Greed,64
2023-03-12,Greed,91
2023-03-13,Greed,71
2023-03-14,Fear,44
2023-03-15,Greed,90
2023-03-16,Greed,76
2023-03-17,Greed,81
2023-03-18,Greed,57
2023-03-19,Greed,63
2023-03-20,Greed,86
2023-03-21,Greed,71
2023-03-22,Fear,36
2023-03-23,Greed,55
2023-03-24,Fear,36
2023-03-25,Greed,60
2023-03-26,Greed,93
2023-03-27,Greed,70
2023-03-28,Greed,64
2023-03-29,Fear,12
2023-03-30,Greed,83
2023-03-31,Fear,11
2023-04-01,Greed,93
2023-04-02,Fear,15
2023-04-03,Greed,79
2023-04-04,Greed,94
2023-04-05,Greed,65
2023-04-06,Greed,88
2023-04-07,Greed,61
2023-04-08,Greed,61
2023-04-09,Greed,88
2023-04-10,Greed,83
2023-04-11,Greed,70
2023-04-12,Greed,64
2023-04-13,Greed,56
2023-04-14,Greed,93
2023-04-15,Greed,90
2023-04-16,Greed,76
2023-04-17,Greed,79
2023-04-18,Greed,71
2023-04-19,Greed,70
2023-04-20,Greed,80
2023-04-21,Greed,58
2023-04-22,Greed,71
2023-04-23,Fear,14
2023-04-24,Fear,19
2023-04-25,Greed,91
2023-04-26,Fear,12
2023-04-27,Greed,65
2023-04-28,Greed,56
2023-04-29,Greed,75
2023-04-30,Greed,68
2023-05-01,Fear,43
2023-05-02,Greed,80
2023-05-03,Fear,10
2023-05-04,Greed,60
2023-05-05,Fear,32
2023-05-06,Greed,73
2023-05-07,Greed,93
2023-05-08,Greed,85
2023-05-09,Greed,91
2023-05-10,Greed,91
2023-05-11,Greed,68
2023-05-12,Greed,76
2023-05-13,Greed,88
2023-05-14,Greed,88
2023-05-15,Greed,82
2023-05-16,Greed,75
2023-05-17,Greed,92
2023-05-18,Greed,74
2023-05-19,Greed,63
2023-05-20,Greed,93
2023-05-21,Greed,93
2023-05-22,Greed,86
2023-05-23,Fear,32
2023-05-24,Greed,62
2023-05-25,Greed,57
2023-05-26,Greed,94
2023-05-27,Greed,69
2023-05-28,Greed,64
2023-05-29,Greed,70
2023-05-30,Fear,33
2023-05-31,Greed,83
2023-06-01,Fear,18
2023-06-02,Greed,68
2023-06-03,Fear,31
2023-06-04,Greed,74
2023-06-05,Fear,22
2023-06-06,Fear,29
2023-06-07,Fear,26
2023-06-08,Fear,35
2023-06-09,Fear,39
2023-06-10,Fear,29
2023-06-11,Greed,74
2023-06-12,Greed,82
2023-06-13,Greed,83
2023-06-14,Greed,60
2023-06-15,Fear,19
2023-06-16,Greed,77
2023-06-17,Fear,29
2023-06-18,Fear,44
2023-06-19,Fear,15
2023-06-20,Fear,31
2023-06-21,Fear,35
2023-06-22,Fear,40
2023-06-23,Fear,10
2023-06-24,Fear,16
2023-06-25,Fear,11
2023-06-26,Fear,27
2023-06-27,Fear,23
2023-06-28,Fear,16
2023-06-29,Fear,24
2023-06-30,Fear,24
2023-07-01,Greed,60
2023-07-02,Greed,80
2023-07-03,Greed,63
2023-07-04,Fear,16
2023-07-05,Greed,56
2023-07-06,Greed,67
2023-07-07,Fear,29
2023-07-08,Greed,62
2023-07-09,Fear,43
2023-07-10,Greed,69
2023-07-11,Greed,90
2023-07-12,Greed,87
2023-07-13,Greed,72
2023-07-14,Fear,37
2023-07-15,Fear,25
2023-07-16,Greed,57
2023-07-17,Fear,36
2023-07-18,Greed,61
2023-07-19,Greed,81
2023-07-20,Greed,68
2023-07-21,Greed,80
2023-07-22,Greed,68
2023-07-23,Fear,11
2023-07-24,Greed,84
2023-07-25,Greed,58
2023-07-26,Greed,74
2023-07-27,Greed,64
2023-07-28,Greed,77
2023-07-29,Greed,76
2023-07-30,Greed,58
2023-07-31,Greed,63
2023-08-01,Fear,35
2023-08-02,Fear,15
2023-08-03,Fear,38
2023-08-04,Fear,43
2023-08-05,Greed,55
2023-08-06,Fear,12
2023-08-07,Greed,89
2023-08-08,Fear,23
2023-08-09,Fear,39
2023-08-10,Fear,13
2023-08-11,Fear,34
2023-08-12,Greed,59
2023-08-13,Fear,32
2023-08-14,Greed,73
2023-08-15,Fear,16
2023-08-16,Fear,16
2023-08-17,Fear,24
2023-08-18,Fear,23
2023-08-19,Fear,32
2023-08-20,Greed,82
2023-08-21,Greed,57
2023-08-22,Fear,15
2023-08-23,Greed,93
2023-08-24,Greed,70
2023-08-25,Fear,36
2023-08-26,Fear,41
2023-08-27,Fear,13
2023-08-28,Fear,40
2023-08-29,Fear,24
2023-08-30,Fear,26
2023-08-31,Fear,40
2023-09-01,Greed,90
2023-09-02,Fear,32
2023-09-03,Greed,81
2023-09-04,Greed,87
2023-09-05,Greed,71
2023-09-06,Greed,86
2023-09-07,Greed,70
2023-09-08,Greed,85
2023-09-09,Fear,14
2023-09-10,Greed,66
2023-09-11,Greed,68
2023-09-12,Fear,43
2023-09-13,Greed,78
2023-09-14,Greed,83
2023-09-15,Greed,82
2023-09-16,Greed,79
2023-09-17,Fear,40
2023-09-18,Greed,55
2023-09-19,Greed,55
2023-09-20,Greed,68
2023-09-21,Greed,63
2023-09-22,Greed,57
2023-09-23,Fear,15
2023-09-24,Fear,35
2023-09-25,Greed,68
2023-09-26,Greed,93
2023-09-27,Greed,66
2023-09-28,Greed,80
2023-09-29,Greed,57
2023-09-30,Greed,60
2023-10-01,Greed,55
2023-10-02,Fear,10
2023-10-03,Fear,19
2023-10-04,Greed,83
2023-10-05,Greed,71
2023-10-06,Greed,62
2023-10-07,Greed,88
2023-10-08,Greed,92
2023-10-09,Greed,89
2023-10-10,Greed,56
2023-10-11,Greed,75
2023-10-12,Greed,87
2023-10-13,Greed,92
2023-10-14,Greed,90
2023-10-15,Greed,85
2023-10-16,Greed,55
2023-10-17,Greed,65
2023-10-18,Greed,79
2023-10-19,Greed,62
2023-10-20,Greed,92
2023-10-21,Fear,29
2023-10-22,Fear,10
2023-10-23,Greed,83
2023-10-24,Greed,59
2023-10-25,Greed,55
2023-10-26,Fear,22
2023-10-27,Greed,60
2023-10-28,Greed,93
2023-10-29,Greed,69
2023-10-30,Greed,91
2023-10-31,Greed,65
2023-11-01,Fear,11
2023-11-02,Fear,14
2023-11-03,Fear,13
2023-11-04,Fear,34
2023-11-05,Fear,33
2023-11-06,Fear,24
2023-11-07,Fear,12
2023-11-08,Fear,17
2023-11-09,Fear,42
2023-11-10,Fear,37
2023-11-11,Fear,24
2023-11-12,Fear,40
2023-11-13,Fear,19
2023-11-14,Fear,11
2023-11-15,Fear,44
2023-11-16,Fear,13
2023-11-17,Greed,85
2023-11-18,Fear,25
2023-11-19,Fear,17
2023-11-20,Fear,14
2023-11-21,Fear,42
2023-11-22,Fear,38
2023-11-23,Fear,32
2023-11-24,Fear,19
2023-11-25,Fear,15
2023-11-26,Fear,13
2023-11-27,Fear,18
2023-11-28,Fear,28
2023-11-29,Fear,24
2023-11-30,Fear,18
2023-12-01,Fear,44
2023-12-02,Greed,82
2023-12-03,Greed,91
2023-12-04,Greed,79
2023-12-05,Greed,58
2023-12-06,Greed,83
2023-12-07,Greed,73
2023-12-08,Greed,77
2023-12-09,Greed,87
2023-12-10,Greed,90
2023-12-11,Greed,64
2023-12-12,Greed,81
2023-12-13,Greed,81
2023-12-14,Fear,12
2023-12-15,Greed,75
2023-12-16,Greed,75
2023-12-17,Greed,72
2023-12-18,Greed,63
2023-12-19,Greed,70
2023-12-20,Fear,22
2023-12-21,Fear,17
2023-12-22,Greed,79
2023-12-23,Greed,77
2023-12-24,Greed,87
2023-12-25,Greed,94
2023-12-26,Greed,64
2023-12-27,Greed,63
2023-12-28,Greed,77
2023-12-29,Greed,62
2023-12-30,Greed,69
2023-12-31,Greed,67
2024-01-01,Fear,32
2024-01-02,Fear,36
2024-01-03,Fear,27
2024-01-04,Fear,26
2024-01-05,Fear,32
2024-01-06,Fear,35
2024-01-07,Fear,21
2024-01-08,Fear,43
2024-01-09,Fear,44
2024-01-10,Fear,29
2024-01-11,Fear,34
2024-01-12,Fear,11
2024-01-13,Greed,84
2024-01-14,Fear,32
2024-01-15,Fear,41
2024-01-16,Greed,74
2024-01-17,Fear,34
2024-01-18,Fear,35
2024-01-19,Greed,78
2024-01-20,Fear,32
2024-01-21,Fear,43
2024-01-22,Fear,14
2024-01-23,Fear,43
2024-01-24,Fear,16
2024-01-25,Fear,25
2024-01-26,Fear,16
2024-01-27,Fear,39
2024-01-28,Fear,35
2024-01-29,Fear,39
2024-01-30,Fear,19
2024-01-31,Fear,31
2024-02-01,Fear,42
2024-02-02,Fear,23
2024-02-03,Fear,36
2024-02-04,Fear,19
2024-02-05,Fear,28
2024-02-06,Fear,20
2024-02-07,Fear,44
2024-02-08,Greed,63
2024-02-09,Fear,20
2024-02-10,Fear,34
2024-02-11,Fear,35
2024-02-12,Fear,17
2024-02-13,Fear,23
2024-02-14,Fear,31
2024-02-15,Fear,24
2024-02-16,Fear,23
2024-02-17,Fear,19
2024-02-18,Fear,34
2024-02-19,Fear,24
2024-02-20,Fear,32
2024-02-21,Fear,23
2024-02-22,Fear,42
2024-02-23,Greed,73
2024-02-24,Fear,18
2024-02-25,Fear,19
2024-02-26,Fear,20
2024-02-27,Fear,44
2024-02-28,Fear,23
2024-02-29,Fear,29
2024-03-01,Greed,71
2024-03-02,Greed,92
2024-03-03,Greed,82
2024-03-04,Greed,84
2024-03-05,Greed,93
2024-03-06,Fear,14
2024-03-07,Greed,63
2024-03-08,Fear,33
2024-03-09,Greed,62
2024-03-10,Greed,62
2024-03-11,Greed,69
2024-03-12,Greed,83
2024-03-13,Greed,57
2024-03-14,Greed,68
2024-03-15,Greed,74
2024-03-16,Greed,94
2024-03-17,Greed,68
2024-03-18,Greed,91
2024-03-19,Greed,81
2024-03-20,Greed,82
2024-03-21,Greed,83
2024-03-22,Greed,67
2024-03-23,Greed,63
2024-03-24,Greed,72
2024-03-25,Greed,64
2024-03-26,Greed,89
2024-03-27,Greed,63
2024-03-28,Greed,83
2024-03-29,Greed,87
2024-03-30,Greed,85
2024-03-31,Fear,11
2024-04-01,Greed,79
2024-04-02,Fear,23
2024-04-03,Greed,59
2024-04-04,Greed,74
2024-04-05,Greed,74
2024-04-06,Greed,63
2024-04-07,Greed,79
2024-04-08,Fear,16
2024-04-09,Greed,78
2024-04-10,Greed,92
2024-04-11,Greed,61
2024-04-12,Fear,12
2024-04-13,Greed,87
2024-04-14,Greed,61
2024-04-15,Greed,55
2024-04-16,Greed,90
2024-04-17,Fear,20
2024-04-18,Greed,64
2024-04-19,Greed,83
2024-04-20,Greed,61
2024-04-21,Greed,91
2024-04-22,Fear,40
2024-04-23,Greed,86
2024-04-24,Greed,88
2024-04-25,Greed,87
2024-04-26,Greed,55
2024-04-27,Fear,10
2024-04-28,Greed,75
2024-04-29,Greed,84
2024-04-30,Greed,79
2024-05-01,Greed,91
2024-05-02,Greed,60
2024-05-03,Fear,17
2024-05-04,Greed,66
2024-05-05,Greed,74
2024-05-06,Fear,17
2024-05-07,Greed,86
2024-05-08,Greed,62
2024-05-09,Fear,30
2024-05-10,Fear,28
2024-05-11,Greed,62
2024-05-12,Greed,88
2024-05-13,Greed,73
2024-05-14,Greed,71
2024-05-15,Greed,64
2024-05-16,Greed,83
2024-05-17,Greed,92
2024-05-18,Greed,61
2024-05-19,Greed,87
2024-05-20,Greed,87
2024-05-21,Greed,69
2024-05-22,Greed,86
2024-05-23,Greed,56
2024-05-24,Fear,12
2024-05-25,Greed,64
2024-05-26,Greed,64
2024-05-27,Greed,66
2024-05-28,Greed,88
2024-05-29,Greed,90
2024-05-30,Greed,65
2024-05-31,Greed,94
2024-06-01,Greed,86
2024-06-02,Fear,37
2024-06-03,Fear,30
2024-06-04,Fear,16
2024-06-05,Fear,16
2024-06-06,Fear,18
2024-06-07,Fear,38
2024-06-08,Fear,13
2024-06-09,Fear,21
2024-06-10,Fear,25
2024-06-11,Fear,32
2024-06-12,Fear,25
2024-06-13,Fear,27
2024-06-14,Fear,17
2024-06-15,Greed,65
2024-06-16,Fear,33
2024-06-17,Fear,21
2024-06-18,Greed,69
2024-06-19,Fear,17
2024-06-20,Fear,15
2024-06-21,Fear,28
2024-06-22,Fear,39
2024-06-23,Fear,13
2024-06-24,Fear,38
2024-06-25,Fear,11
2024-06-26,Greed,91
2024-06-27,Fear,31
2024-06-28,Fear,23
2024-06-29,Fear,10
2024-06-30,Fear,26
